"C","CTY","Val"
"csfol","DNK",1.31408941648055
"csfol","GRC",1.31408941648055
"csfol","HRV",1.31408941648055
"csfol","HUN",1.31408941648055
"csfol","ITP",1.31408941648055
"csfol","OBN",1.31408941648055
"csfol","PRT",1.31408941648055
"csfol","ROU",1.31408941648055
"csfol","SPP",1.31408941648055
"csfol","SVK",1.31408941648055
"csfol","SVN",1.31408941648055
"csfol","UKP",1.31408941648055
"cplol","CRB",1.42942088646588
"cplol","CRI",1.67443114023155
"cplol","DOM",1.67443114023155
"cplol","ECU",1.61092725166851
"cplol","FJI",1.42942088646588
"cplol","GTM",1.67443114023155
"cplol","HND",1.67443114023155
"cplol","HTI",1.67443114023155
"cplol","IDN",1.62872754904371
"cplol","JAM",1.42942088646588
"cplol","KOR",1.37794405794827
"cplol","MYS",1.13446928618334
"cplol","NIC",1.67443114023155
"cplol","OIO",1.42942088646588
"cplol","OPO",1.42942088646588
"cplol","PAK",1.32026640250496
"cplol","PAN",1.67443114023155
"cplol","SLB",1.42942088646588
"cplol","SLV",1.67443114023155
"ctool","CHM",1.36125908614001
"ctool","IND",1.37668276945777
"ctool","PAK",1.32026640250496
