"J","FPU","LND","RIQFPU","Val"
"jbarl","COB_CAN","air","YLD",3.49459995719805
"jbarl","COB_CAN","arf","QS",219.446533571388
"jbarl","COB_CAN","arf","ARA",67.3388175899059
"jbarl","COB_CAN","arf","YLD",3.25884150368988
"jbarl","COB_USA","air","QS",513.952072725984
"jbarl","COB_USA","air","ARA",83.9817395805379
"jbarl","COB_USA","air","YLD",6.11980741638612
"jbarl","COB_USA","arf","QS",327.426222041241
"jbarl","COB_USA","arf","ARA",95.8744766677859
"jbarl","COB_USA","arf","YLD",3.41515524695695
"jbarl","COL_USA","air","QS",53.6141571525833
"jbarl","COL_USA","air","ARA",9.36120141139318
"jbarl","COL_USA","air","YLD",5.72727311339882
"jbarl","COL_USA","arf","QS",45.1620401603587
"jbarl","COL_USA","arf","ARA",14.2314326491392
"jbarl","COL_USA","arf","YLD",3.17340082855891
"jbarl","CON_COD","air","QS",0.00148384781895416
"jbarl","CON_COD","air","ARA",0.00217438882147203
"jbarl","CON_COD","air","YLD",0.682420643585545
"jbarl","CON_COD","arf","QS",0.98604714413272
"jbarl","CON_COD","arf","ARA",1.44763562306929
"jbarl","CON_COD","arf","YLD",0.681143188533929
"jbarl","DAN_AUT","air","QS",20.248853140734
"jbarl","DAN_AUT","air","ARA",2.87422517855973
"jbarl","DAN_AUT","air","YLD",7.0449779967764
"jbarl","DAN_AUT","arf","QS",771.256636550856
"jbarl","DAN_AUT","arf","ARA",124.115777771473
"jbarl","DAN_AUT","arf","YLD",6.21400961585179
"jbarl","DAN_BGR","air","QS",75.37713267405
"jbarl","DAN_BGR","air","ARA",10.3308611245823
"jbarl","DAN_BGR","air","YLD",7.29630683880653
"jbarl","DAN_BGR","arf","QS",556.287883110612
"jbarl","DAN_BGR","arf","ARA",116.162470784597
"jbarl","DAN_BGR","arf","YLD",4.78887784801124
"jbarl","DAN_CZE","air","QS",7.25171258088501
"jbarl","DAN_CZE","air","ARA",1.21337347738445
"jbarl","DAN_CZE","air","YLD",5.97648845639583
"jbarl","DAN_CZE","arf","QS",1806.98331449505
"jbarl","DAN_CZE","arf","ARA",329.83662448811
"jbarl","DAN_CZE","arf","YLD",5.47841925468221
"jbarl","DAN_DEU","air","QS",55.0038112151188
"jbarl","DAN_DEU","air","ARA",5.62543374461496
"jbarl","DAN_DEU","air","YLD",9.77770136707628
"jbarl","DAN_DEU","arf","QS",2335.08301340889
"jbarl","DAN_DEU","arf","ARA",331.237689216773
"jbarl","DAN_DEU","arf","YLD",7.04956920491236
"jbarl","DAN_HRV","air","QS",0.528958335397631
"jbarl","DAN_HRV","air","ARA",0.101694508343572
"jbarl","DAN_HRV","air","YLD",5.20144444388835
"jbarl","DAN_HRV","arf","QS",318.534764591528
"jbarl","DAN_HRV","arf","ARA",61.8583058476948
"jbarl","DAN_HRV","arf","YLD",5.14942593765519
"jbarl","DAN_HUN","air","QS",97.0052345110798
"jbarl","DAN_HUN","air","ARA",10.0622054926161
"jbarl","DAN_HUN","air","YLD",9.64055391059787
"jbarl","DAN_HUN","arf","QS",1498.44560120139
"jbarl","DAN_HUN","arf","ARA",276.867787183165
"jbarl","DAN_HUN","arf","YLD",5.41213413249147
"jbarl","DAN_MDA","air","QS",24.1242758562713
"jbarl","DAN_MDA","air","ARA",6.64840093244567
"jbarl","DAN_MDA","air","YLD",3.62858318885966
"jbarl","DAN_MDA","arf","QS",140.16284345685
"jbarl","DAN_MDA","arf","ARA",50.3402668735439
"jbarl","DAN_MDA","arf","YLD",2.78430870875085
"jbarl","DAN_OBN","air","QS",20.1784504354204
"jbarl","DAN_OBN","air","ARA",2.88877306635465
"jbarl","DAN_OBN","air","YLD",6.98512827831214
"jbarl","DAN_OBN","arf","QS",713.199728757718
"jbarl","DAN_OBN","arf","ARA",164.48889506603
"jbarl","DAN_OBN","arf","YLD",4.33585336244992
"jbarl","DAN_ROU","air","QS",507.34649287837
"jbarl","DAN_ROU","air","ARA",76.4566276966963
"jbarl","DAN_ROU","air","YLD",6.63574248776725
"jbarl","DAN_ROU","arf","QS",1102.22757444283
"jbarl","DAN_ROU","arf","ARA",362.650051583903
"jbarl","DAN_ROU","arf","YLD",3.03936968884677
"jbarl","DAN_SVK","air","QS",5.03359603665967
"jbarl","DAN_SVK","air","ARA",0.546505012110154
"jbarl","DAN_SVK","air","YLD",9.21052126717749
"jbarl","DAN_SVK","arf","QS",604.507881587888
"jbarl","DAN_SVK","arf","ARA",118.520160637304
"jbarl","DAN_SVK","arf","YLD",5.10046458203686
"jbarl","DAN_SVN","air","QS",0.180899659160751
"jbarl","DAN_SVN","air","ARA",0.0337341308967039
"jbarl","DAN_SVN","air","YLD",5.36251133057726
"jbarl","DAN_SVN","arf","QS",117.742491754042
"jbarl","DAN_SVN","arf","ARA",22.1729321797315
"jbarl","DAN_SVN","arf","YLD",5.31019040691746
"jbarl","DAN_TUR","air","QS",31.6858125140675
"jbarl","DAN_TUR","air","ARA",10.0788841122874
"jbarl","DAN_TUR","air","YLD",3.14378180769422
"jbarl","DAN_TUR","arf","QS",155.610495941477
"jbarl","DAN_TUR","arf","ARA",67.7115202579944
"jbarl","DAN_TUR","arf","YLD",2.29813915488191
"jbarl","DAN_UKR","air","QS",5.99974049793831
"jbarl","DAN_UKR","air","ARA",0.929195833188726
"jbarl","DAN_UKR","air","YLD",6.45691713591631
"jbarl","DAN_UKR","arf","QS",185.623487807091
"jbarl","DAN_UKR","arf","ARA",54.3682279857493
"jbarl","DAN_UKR","arf","YLD",3.41419050581795
"jbarl","DNI_BLR","air","QS",29.9940984475349
"jbarl","DNI_BLR","air","ARA",7.8504074928631
"jbarl","DNI_BLR","air","YLD",3.82070592829773
"jbarl","DNI_BLR","arf","QS",1287.34970258595
"jbarl","DNI_BLR","arf","ARA",373.567917295548
"jbarl","DNI_BLR","arf","YLD",3.44609277987718
"jbarl","DNI_RUS","air","QS",25.6749416683972
"jbarl","DNI_RUS","air","ARA",6.6829117413382
"jbarl","DNI_RUS","air","YLD",3.84187950733822
"jbarl","DNI_RUS","arf","QS",753.100560396126
"jbarl","DNI_RUS","arf","ARA",219.434440486364
"jbarl","DNI_RUS","arf","YLD",3.43200711213299
"jbarl","DNI_UKR","air","QS",116.139839762314
"jbarl","DNI_UKR","air","ARA",18.080718643369
"jbarl","DNI_UKR","air","YLD",6.42340838619863
"jbarl","DNI_UKR","arf","QS",6646.28494582878
"jbarl","DNI_UKR","arf","ARA",1943.98576424136
"jbarl","DNI_UKR","arf","YLD",3.41889589321273
"jbarl","EAC_COD","air","QS",0.00149880688427619
"jbarl","EAC_COD","air","ARA",0.00219540179559342
"jbarl","EAC_COD","air","YLD",0.68270276870711
"jbarl","EAC_COD","arf","QS",0.00152057907792607
"jbarl","EAC_COD","arf","ARA",0.00223239509761335
"jbarl","EAC_COD","arf","YLD",0.681142455272239
"jbarl","EAC_TZA","air","QS",0.0243939019983856
