"JJJ","CTY","RIQ","Val"
"jbeef","CMR","QD",116.656688761228
"jbeef","CMR","QF",116.656688761228
"jbeef","CMR","QM",1.68096823512593
"jbeef","CMR","QN",-1.68096823512593
"jbeef","CMR","ARA",804.729675292969
"jbeef","CMR","YLD",0.142874960444629
"jbeef","COD","QS",21.1775497903019
"jbeef","COD","QD",26.332760525223
"jbeef","COD","QF",26.332760525223
"jbeef","COD","QM",5.15521073492111
"jbeef","COD","QN",-5.15521073492111
"jbeef","COD","ARA",134.598999023438
"jbeef","COD","YLD",0.157338092734362
"jbeef","COG","QS",5.52593814688252
"jbeef","COG","QD",15.6664140729722
"jbeef","COG","QF",15.6664140729722
"jbeef","COG","QM",10.1404759260896
"jbeef","COG","QN",-10.1404759260896
"jbeef","COG","ARA",35.8410008748372
"jbeef","COG","YLD",0.154179236405256
"jbeef","COL","QS",745.767726506624
"jbeef","COL","QD",693.97618960168
"jbeef","COL","QF",679.310186931292
"jbeef","COL","QW",14.6660026703879
"jbeef","COL","QE",51.7915369049436
"jbeef","COL","QN",51.7915369049436
"jbeef","COL","ARA",3257.77162679036
"jbeef","COL","YLD",0.228919584286935
"jbeef","CRB","QS",7.21052930637007
"jbeef","CRB","QD",22.3327324381138
"jbeef","CRB","QF",22.3327324381138
"jbeef","CRB","QM",15.1222031317438
"jbeef","CRB","QN",-15.1222031317438
"jbeef","CRB","ARA",32.9349998546143
"jbeef","CRB","YLD",0.218932118967653
"jbeef","CRI","QS",90.877302218807
"jbeef","CRI","QD",67.3294553707916
"jbeef","CRI","QF",67.3294553707916
"jbeef","CRI","QE",23.5478468480154
"jbeef","CRI","QN",23.5478468480154
"jbeef","CRI","ARA",394.415334065755
"jbeef","CRI","YLD",0.230410165046109
"jbeef","CUB","QS",76.6546757064871
"jbeef","CUB","QD",88.6604103319256
"jbeef","CUB","QF",88.6604103319256
"jbeef","CUB","QM",12.0057346254385
"jbeef","CUB","QN",-12.0057346254385
"jbeef","CUB","ARA",385.723999023438
"jbeef","CUB","YLD",0.198729339892147
"jbeef","CYP","QS",5.34336142328799
"jbeef","CYP","QD",9.99991610838881
"jbeef","CYP","QF",8.99992005622087
"jbeef","CYP","QW",0.999996052167944
"jbeef","CYP","QM",4.65655468510082
"jbeef","CYP","QN",-4.65655468510082
"jbeef","CYP","ARA",18.6599998474121
