"C","H","CTY","YRS","Val"
"cbeef","Urban","BDI","2026",0.683487233043311
"cbeef","Urban","BDI","2027",0.681857762456693
"cbeef","Urban","BDI","2028",0.68018293864943
"cbeef","Urban","BDI","2029",0.678461371660087
"cbeef","Urban","BDI","2030",0.676691626067891
"cbeef","Urban","BDI","2031",0.674669320429572
"cbeef","Urban","BDI","2032",0.672583749466511
"cbeef","Urban","BDI","2033",0.670432740007874
"cbeef","Urban","BDI","2034",0.668214039456164
"cbeef","Urban","BDI","2035",0.665925312777099
"cbeef","Urban","BDI","2036",0.663410766002036
"cbeef","Urban","BDI","2037",0.660811193271428
"cbeef","Urban","BDI","2038",0.658123450891404
"cbeef","Urban","BDI","2039",0.655344271993161
"cbeef","Urban","BDI","2040",0.652470261542726
"cbeef","Urban","BDI","2041",0.64998949817451
"cbeef","Urban","BDI","2042",0.647437700147167
"cbeef","Urban","BDI","2043",0.644812654257539
"cbeef","Urban","BDI","2044",0.642112074536133
"cbeef","Urban","BDI","2045",0.639333599780226
"cbeef","Urban","BDI","2046",0.636454400263664
"cbeef","Urban","BDI","2047",0.633491159764718
"cbeef","Urban","BDI","2048",0.630441219515436
"cbeef","Urban","BDI","2049",0.6273018322813
"cbeef","Urban","BDI","2050",0.624070159332673
"cbeef","Urban","BEN","2021",0.644945168517143
"cbeef","Urban","BEN","2022",0.559945168517143
"cbeef","Urban","BEN","2023",0.554945168517143
"cbeef","Urban","BEN","2024",0.549945168517143
"cbeef","Urban","BEN","2025",0.544945168517143
"cbeef","Urban","BEN","2026",0.539945168517143
"cbeef","Urban","BEN","2027",0.534945168517143
"cbeef","Urban","BEN","2028",0.529945168517143
"cbeef","Urban","BEN","2029",0.524945168517143
"cbeef","Urban","BEN","2030",0.519945168517143
"cbeef","Urban","BEN","2031",0.514945168517143
"cbeef","Urban","BEN","2032",0.509945168517143
"cbeef","Urban","BEN","2033",0.504945168517143
"cbeef","Urban","BEN","2034",0.499945168517143
"cbeef","Urban","BEN","2035",0.494945168517143
"cbeef","Urban","BEN","2036",0.489945168517143
"cbeef","Urban","BEN","2037",0.484945168517143
"cbeef","Urban","BEN","2038",0.479945168517143
"cbeef","Urban","BEN","2039",0.474945168517143
"cbeef","Urban","BEN","2040",0.469945168517143
"cbeef","Urban","BEN","2041",0.464945168517143
"cbeef","Urban","BEN","2042",0.459945168517143
"cbeef","Urban","BEN","2043",0.454945168517143
"cbeef","Urban","BEN","2044",0.449945168517143
"cbeef","Urban","BEN","2045",0.444945168517143
"cbeef","Urban","BEN","2046",0.439945168517143
"cbeef","Urban","BEN","2047",0.434945168517143
"cbeef","Urban","BEN","2048",0.429945168517143
"cbeef","Urban","BEN","2049",0.424945168517143
"cbeef","Urban","BEN","2050",0.419945168517143
"cbeef","Urban","BFA","2021",0.90219943796513
"cbeef","Urban","BFA","2022",0.885557460350349
"cbeef","Urban","BFA","2023",0.884367673730681
"cbeef","Urban","BFA","2024",0.88314327128589
"cbeef","Urban","BFA","2025",0.881883133982632
"cbeef","Urban","BFA","2026",0.880461935674007
"cbeef","Urban","BFA","2027",0.878994990255175
"cbeef","Urban","BFA","2028",0.87748066470462
"cbeef","Urban","BFA","2029",0.875917263323723
"cbeef","Urban","BFA","2030",0.874303025223159
"cbeef","Urban","BFA","2031",0.872454127137643
"cbeef","Urban","BFA","2032",0.870538074964253
"cbeef","Urban","BFA","2033",0.868552174352738
"cbeef","Urban","BFA","2034",0.866493615248868
"cbeef","Urban","BFA","2035",0.864359466720796
"cbeef","Urban","BFA","2036",0.862008295706059
"cbeef","Urban","BFA","2037",0.85956471339595
"cbeef","Urban","BFA","2038",0.857024726489734
"cbeef","Urban","BFA","2039",0.854384157907611
"cbeef","Urban","BFA","2040",0.851638638015826
"cbeef","Urban","BFA","2041",0.84926217953471
"cbeef","Urban","BFA","2042",0.846806572828713
"cbeef","Urban","BFA","2043",0.844268936299995
"cbeef","Urban","BFA","2044",0.841646277198017
"cbeef","Urban","BFA","2045",0.83893548718693
"cbeef","Urban","BFA","2046",0.836118796098684
"cbeef","Urban","BFA","2047",0.833206405041517
"cbeef","Urban","BFA","2048",0.830194775843687
"cbeef","Urban","BFA","2049",0.827080232306193
"cbeef","Urban","BFA","2050",0.823858954651302
"cbeef","Urban","BGD","2021",0.852197856093344
"cbeef","Urban","BGD","2022",0.718354382210259
"cbeef","Urban","BGD","2023",0.711170838388157
"cbeef","Urban","BGD","2024",0.704059130004275
"cbeef","Urban","BGD","2025",0.697018538704232
"cbeef","Urban","BGD","2026",0.69004835331719
"cbeef","Urban","BGD","2027",0.683147869784018
"cbeef","Urban","BGD","2028",0.676316391086178
"cbeef","Urban","BGD","2029",0.669553227175316
"cbeef","Urban","BGD","2030",0.662857694903563
"cbeef","Urban","BGD","2031",0.656229117954527
"cbeef","Urban","BGD","2032",0.649666826774982
"cbeef","Urban","BGD","2033",0.643170158507232
"cbeef","Urban","BGD","2034",0.63673845692216
"cbeef","Urban","BGD","2035",0.630371072352938
"cbeef","Urban","BGD","2036",0.624067361629409
"cbeef","Urban","BGD","2037",0.617826688013115
"cbeef","Urban","BGD","2038",0.611648421132984
"cbeef","Urban","BGD","2039",0.605531936921654
