"SCENARIO","CTY","YRS","Val"
"IIASA_ssp1","ARG","2009",0.0102197679827093
"IIASA_ssp1","ARG","2010",0.0102339596404614
"IIASA_ssp1","ARG","2011",0.0103954072109504
"IIASA_ssp1","ARG","2012",0.0103904511700352
"IIASA_ssp1","ARG","2013",0.0102807807509198
"IIASA_ssp1","ARG","2014",0.010111420209205
"IIASA_ssp1","ARG","2015",0.0095054066947748
"IIASA_ssp1","ARG","2016",0.00884795189199444
"IIASA_ssp1","ARG","2017",0.00814852182572688
"IIASA_ssp1","ARG","2018",0.00747347726583498
"IIASA_ssp1","ARG","2019",0.0036410572499773
"IIASA_ssp1","ARG","2020",0.00441142011587532
"IIASA_ssp1","ARG","2021",0.00441836042839989
"IIASA_ssp1","ARG","2022",0.00439245723863291
"IIASA_ssp1","ARG","2023",0.00433808684840886
"IIASA_ssp1","ARG","2024",0.00425880507955669
"IIASA_ssp1","ARG","2025",0.00415818996723814
"IIASA_ssp1","ARG","2026",0.00404014160728811
"IIASA_ssp1","ARG","2027",0.00390766362632335
"IIASA_ssp1","ARG","2028",0.00376361822086484
"IIASA_ssp1","ARG","2029",0.00361017442074294
"IIASA_ssp1","ARG","2030",0.00344897630545483
"IIASA_ssp1","ARG","2031",0.00328043304007454
"IIASA_ssp1","ARG","2032",0.00310434000554764
"IIASA_ssp1","ARG","2033",0.00292236599626247
"IIASA_ssp1","ARG","2034",0.00273789298321739
"IIASA_ssp1","ARG","2035",0.0025456402827733
"IIASA_ssp1","ARG","2036",0.00235709314790896
"IIASA_ssp1","ARG","2037",0.00219164942520265
"IIASA_ssp1","ARG","2038",0.00205843427084131
"IIASA_ssp1","ARG","2039",0.00194620823706746
"IIASA_ssp1","ARG","2040",0.00184200625323282
"IIASA_ssp1","ARG","2041",0.00172859976357281
"IIASA_ssp1","ARG","2042",0.00160056795550751
"IIASA_ssp1","ARG","2043",0.00145072102774798
"IIASA_ssp1","ARG","2044",0.00128335296032637
"IIASA_ssp1","ARG","2045",0.00110973738713195
"IIASA_ssp1","ARG","2046",0.000938005731679478
"IIASA_ssp1","ARG","2047",0.000766826184506168
"IIASA_ssp1","ARG","2048",0.00059921835838566
"IIASA_ssp1","ARG","2049",0.0004318981293205
"IIASA_ssp1","ARG","2050",-1
"IIASA_ssp1","ARM","2005",-0.00681254483556615
"IIASA_ssp1","ARM","2006",-0.00730004908331837
"IIASA_ssp1","ARM","2007",-0.00698061139138575
"IIASA_ssp1","ARM","2008",-0.00641009204032729
"IIASA_ssp1","ARM","2009",-0.00607344778094943
"IIASA_ssp1","ARM","2010",-0.00587755528727124
"IIASA_ssp1","ARM","2011",-0.00496931350751908
"IIASA_ssp1","ARM","2012",-0.00447310117515627
"IIASA_ssp1","ARM","2013",-0.00394811511538723
"IIASA_ssp1","ARM","2014",-0.00392224100968549
"IIASA_ssp1","ARM","2015",-0.00443254511880728
"IIASA_ssp1","ARM","2016",-0.00485443160544814
"IIASA_ssp1","ARM","2017",-0.00538794350338358
"IIASA_ssp1","ARM","2018",-0.0056249530681035
"IIASA_ssp1","ARM","2019",-0.0028743868993899
"IIASA_ssp1","ARM","2020",-0.004081786485589
"IIASA_ssp1","ARM","2021",-0.00379648227391954
"IIASA_ssp1","ARM","2022",-0.00353679427174766
"IIASA_ssp1","ARM","2023",-0.00330550751282798
"IIASA_ssp1","ARM","2024",-0.00312522552429842
"IIASA_ssp1","ARM","2025",-0.00299747453449761
"IIASA_ssp1","ARM","2026",-0.00294730788584592
"IIASA_ssp1","ARM","2027",-0.00297604742449707
"IIASA_ssp1","ARM","2028",-0.0030890179895672
"IIASA_ssp1","ARM","2029",-0.00328249736502656
"IIASA_ssp1","ARM","2030",-0.00351751719889486
"IIASA_ssp1","ARM","2031",-0.00375235282813337
"IIASA_ssp1","ARM","2032",-0.0039338360251264
"IIASA_ssp1","ARM","2033",-0.00402185480360741
"IIASA_ssp1","ARM","2034",-0.00404406674277604
"IIASA_ssp1","ARM","2035",-0.0040544920736926
"IIASA_ssp1","ARM","2036",-0.00408153283229716
"IIASA_ssp1","ARM","2037",-0.00408314843687704
"IIASA_ssp1","ARM","2038",-0.004071059177162
"IIASA_ssp1","ARM","2039",-0.00403818488122185
"IIASA_ssp1","ARM","2040",-0.00399757537282469
"IIASA_ssp1","ARM","2041",-0.00396178440797098
"IIASA_ssp1","ARM","2042",-0.0039443899610803
"IIASA_ssp1","ARM","2043",-0.0039607838280506
"IIASA_ssp1","ARM","2044",-0.00399984768405945
"IIASA_ssp1","ARM","2045",-0.0040560932296757
"IIASA_ssp1","ARM","2046",-0.00409454790166663
"IIASA_ssp1","ARM","2047",-0.00416212053394095
"IIASA_ssp1","ARM","2048",-0.00423678606185416
"IIASA_ssp1","ARM","2049",-0.00430796324685834
"IIASA_ssp1","ARM","2050",-1
"IIASA_ssp1","AUS","2005",0.014639274503494
"IIASA_ssp1","AUS","2006",0.0177748310331296
"IIASA_ssp1","AUS","2007",0.0200205675933764
"IIASA_ssp1","AUS","2008",0.0194381338781534
"IIASA_ssp1","AUS","2009",0.0165402468190135
"IIASA_ssp1","AUS","2010",0.0153441534361303
"IIASA_ssp1","AUS","2011",0.0166495698848066
"IIASA_ssp1","AUS","2012",0.0168290718016493
"IIASA_ssp1","AUS","2013",0.0154811951644662
"IIASA_ssp1","AUS","2014",0.0149409153240262
"IIASA_ssp1","AUS","2015",0.0157624379590017
"IIASA_ssp1","AUS","2016",0.0163100044857142
"IIASA_ssp1","AUS","2017",0.0158150152782594
"IIASA_ssp1","AUS","2018",0.0151301701453569
"IIASA_ssp1","AUS","2019",0.00737515266885068
"IIASA_ssp1","AUS","2020",0.0080078897023249
"IIASA_ssp1","AUS","2021",0.00796512823269229
"IIASA_ssp1","AUS","2022",0.00789910390874886
"IIASA_ssp1","AUS","2023",0.00781158432013148
"IIASA_ssp1","AUS","2024",0.00770756673397245
"IIASA_ssp1","AUS","2025",0.00758801161468
"IIASA_ssp1","AUS","2026",0.00745652471315913
"IIASA_ssp1","AUS","2027",0.00731530718275542
"IIASA_ssp1","AUS","2028",0.00716805305446666
"IIASA_ssp1","AUS","2029",0.00701561066942738
"IIASA_ssp1","AUS","2030",0.00686194919108031
"IIASA_ssp1","AUS","2031",0.00670956222293723
"IIASA_ssp1","AUS","2032",0.00655960419219088
"IIASA_ssp1","AUS","2033",0.00641660672035053
"IIASA_ssp1","AUS","2034",0.00628096407655466
"IIASA_ssp1","AUS","2035",0.00614740803275044
