"J","FPU","FCTR","Val"
"jbarl","RRS_RUS","arf",-0.576
"jbarl","RWI_CAN","air",-0.9156
"jbarl","RWI_CAN","arf",-0.7848
"jbarl","RWI_USA","air",-0.72
"jbarl","RWI_USA","arf",-0.72
"jbarl","SAC_ZAF","air",-0.672
"jbarl","SAC_ZAF","arf",-0.504
"jbarl","SAF_TZA","air",-1.024
"jbarl","SAF_TZA","arf",-0.576
"jbarl","SAF_ZWE","air",-0.754
"jbarl","SAF_ZWE","arf",-0.58
"jbarl","SAH_DZA","air",-0.6
"jbarl","SAH_DZA","arf",-0.45
"jbarl","SAH_EGY","air",-0.648
"jbarl","SAH_EGY","arf",-0.486
"jbarl","SAH_LBY","air",-0.6
"jbarl","SAH_LBY","arf",-0.45
"jbarl","SAH_MOR","air",-0.6
"jbarl","SAH_MOR","arf",-0.45
"jbarl","SAH_MRT","air",-0.528
"jbarl","SAH_MRT","arf",-0.44
"jbarl","SAL_ARG","air",-0.768
"jbarl","SAL_ARG","arf",-0.576
"jbarl","SAN_BRA","air",-0.72
"jbarl","SAN_BRA","arf",-0.54
"jbarl","SAU_SAU","air",-0.6
"jbarl","SAU_SAU","arf",-0.45
"jbarl","SAY_IND","air",-0.528
"jbarl","SAY_IND","arf",-0.528
"jbarl","SEI_FRP","air",-0.864
"jbarl","SEI_FRP","arf",-0.72
"jbarl","SEN_MRT","air",-0.528
"jbarl","SEN_MRT","arf",-0.44
"jbarl","SEU_USA","air",-0.72
"jbarl","SEU_USA","arf",-0.72
"jbarl","SKP_KOR","air",-0.456
"jbarl","SKP_KOR","arf",-0.38
"jbarl","SON_CHM","air",-0.6
"jbarl","SON_CHM","arf",-0.45
"jbarl","SPP_SPP","air",-0.864
"jbarl","SPP_SPP","arf",-0.72
"jbarl","SWE_SWE","air",-0.864
"jbarl","SWE_SWE","arf",-0.72
"jbarl","SYD_KAZ","air",-0.648
"jbarl","SYD_KAZ","arf",-0.486
"jbarl","SYD_KGZ","air",-0.648
"jbarl","SYD_KGZ","arf",-0.486
"jbarl","SYD_TJK","air",-0.648
"jbarl","SYD_TJK","arf",-0.486
"jbarl","SYD_UZB","air",-0.648
"jbarl","SYD_UZB","arf",-0.486
"jbarl","TIE_ARG","air",-0.768
"jbarl","TIE_ARG","arf",-0.576
"jbarl","TIG_IRN","air",-0.6
"jbarl","TIG_IRN","arf",-0.5
"jbarl","TIG_IRQ","air",-0.6
"jbarl","TIG_IRQ","arf",-0.5
"jbarl","TIG_SYR","air",-0.6
"jbarl","TIG_SYR","arf",-0.45
"jbarl","TIG_TUR","air",-0.72
"jbarl","TIG_TUR","arf",-0.54
"jbarl","TMM_BGD","air",-0.408
"jbarl","TMM_BGD","arf",-0.306
"jbarl","TMM_THA","air",-0.408
"jbarl","TMM_THA","arf",-0.306
"jbarl","TOC_BRA","air",-0.72
"jbarl","TOC_BRA","arf",-0.54
"jbarl","TWN_CHM","air",-0.6
"jbarl","TWN_CHM","arf",-0.45
"jbarl","UKP_UKP","air",-0.864
"jbarl","UKP_UKP","arf",-0.648
"jbarl","UME_MEX","air",-0.72
"jbarl","UME_MEX","arf",-0.6
"jbarl","UMO_MNG","air",-0.384
"jbarl","UMO_MNG","arf",-0.288
"jbarl","UMO_RUS","air",-0.768
"jbarl","UMO_RUS","arf",-0.576
"jbarl","URA_KAZ","air",-0.648
"jbarl","URA_KAZ","arf",-0.486
"jbarl","URA_RUS","air",-0.768
"jbarl","URA_RUS","arf",-0.576
"jbarl","URA_TKM","air",-0.648
"jbarl","URA_TKM","arf",-0.486
"jbarl","URU_BRA","air",-0.72
"jbarl","URU_BRA","arf",-0.54
"jbarl","URU_URY","air",-0.696
"jbarl","URU_URY","arf",-0.522
"jbarl","USN_USA","air",-0.72
"jbarl","USN_USA","arf",-0.72
"jbarl","VOG_RUS","air",-0.768
"jbarl","VOG_RUS","arf",-0.576
"jbarl","WAI_AFG","air",-0.432
"jbarl","WAI_AFG","arf",-0.324
"jbarl","WAI_IRN","air",-0.6
"jbarl","WAI_IRN","arf",-0.5
"jbarl","WAI_PAK","air",-0.432
"jbarl","WAI_PAK","arf",-0.432
"jbarl","WAI_TKM","air",-0.648
"jbarl","WAI_TKM","arf",-0.486
"jbarl","WAU_AUS","air",-0.696
"jbarl","WAU_AUS","arf",-0.58
"jbarl","WGM_USA","air",-0.72
"jbarl","WGM_USA","arf",-0.72
"jbarl","YEM_YEM","air",-0.6
"jbarl","YEM_YEM","arf",-0.45
"jbarl","YEN_RUS","air",-0.768
"jbarl","YEN_RUS","arf",-0.576
"jbarl","YHE_CHM","air",-0.6
"jbarl","YHE_CHM","arf",-0.45
"jbarl","YRD_CHM","air",-0.6
"jbarl","YRD_CHM","arf",-0.45
"jbarl","YUC_MEX","air",-0.72
"jbarl","YUC_MEX","arf",-0.6
"jbarl","ZAM_COD","air",-0.744
"jbarl","ZAM_COD","arf",-0.558
"jbarl","ZAM_TZA","air",-1.024
"jbarl","ZAM_TZA","arf",-0.576
"jbarl","ZAM_ZMB","air",-0.87
"jbarl","ZAM_ZMB","arf",-0.522
"jbarl","ZAM_ZWE","air",-0.754
"jbarl","ZAM_ZWE","arf",-0.58
"jbarl","ZHJ_CHM","air",-0.6
"jbarl","ZHJ_CHM","arf",-0.45
"jmaiz","ALB_ALB","air",-0.8448
"jmaiz","ALB_ALB","arf",-0.704
"jmaiz","ALK_USA","air",-1.584
"jmaiz","ALK_USA","arf",-1.584
"jmaiz","AMA_BOL","air",-0.6336
"jmaiz","AMA_BOL","arf",-0.4752
"jmaiz","AMA_BRA","air",-0.9504
"jmaiz","AMA_BRA","arf",-0.7128
"jmaiz","AMA_COL","air",-0.5544
"jmaiz","AMA_COL","arf",-0.4158
"jmaiz","AMA_ECU","air",-0.6336
"jmaiz","AMA_ECU","arf",-0.4752
"jmaiz","AMA_PER","air",-0.6336
"jmaiz","AMA_PER","arf",-0.4752
"jmaiz","AMD_AFG","air",-0.528
"jmaiz","AMD_AFG","arf",-0.396
"jmaiz","AMD_TJK","air",-0.7128
"jmaiz","AMD_TJK","arf",-0.5346
"jmaiz","AMD_TKM","air",-0.7128
"jmaiz","AMD_TKM","arf",-0.5346
"jmaiz","AMD_UZB","air",-0.7128
"jmaiz","AMD_UZB","arf",-0.5346
"jmaiz","AMR_CHM","air",-0.7128
"jmaiz","AMR_CHM","arf",-0.5346
"jmaiz","AMR_RUS","air",-0.7128
"jmaiz","AMR_RUS","arf",-0.5346
"jmaiz","ARA_IRQ","air",-0.7656
"jmaiz","ARA_IRQ","arf",-0.638
"jmaiz","ARK_USA","air",-1.584
"jmaiz","ARK_USA","arf",-1.584
"jmaiz","ARM_ARM","air",-0.66
"jmaiz","ARM_ARM","arf",-0.495
"jmaiz","AZE_AZE","air",-0.66
"jmaiz","AZE_AZE","arf",-0.495
"jmaiz","BAL_BLT","air",-0.8448
"jmaiz","BAL_BLT","arf",-0.704
"jmaiz","BAL_RUS","air",-0.7128
"jmaiz","BAL_RUS","arf",-0.5346
"jmaiz","BLA_RUS","air",-0.7128
"jmaiz","BLA_RUS","arf",-0.5346
"jmaiz","BLA_TUR","air",-0.6072
"jmaiz","BLA_TUR","arf",-0.4554
"jmaiz","BLA_UKR","air",-0.7128
"jmaiz","BLA_UKR","arf",-0.5346
"jmaiz","BLZ_BLZ","air",-0.6336
"jmaiz","BLZ_BLZ","arf",-0.4752
"jmaiz","BOR_IDN","air",-0.7128
"jmaiz","BOR_IDN","arf",-0.5346
"jmaiz","BOR_MYS","air",-0.396
"jmaiz","BOR_MYS","arf",-0.33
"jmaiz","BRT_BGD","air",-0.2904
"jmaiz","BRT_BGD","arf",-0.2178
"jmaiz","BRT_BTN","air",-0.528
"jmaiz","BRT_BTN","arf",-0.396
"jmaiz","BRT_CHM","air",-0.7128
"jmaiz","BRT_CHM","arf",-0.5346
"jmaiz","BRT_IND","air",-0.8712
"jmaiz","BRT_IND","arf",-0.8712
"jmaiz","CAF_AGO","air",-0.7656
"jmaiz","CAF_AGO","arf",-0.5742
"jmaiz","CAF_CAF","air",-0.4224
"jmaiz","CAF_CAF","arf",-0.3168
"jmaiz","CAF_CMR","air",-0.3168
"jmaiz","CAF_CMR","arf",-0.3168
"jmaiz","CAF_COG","air",-0.3872
"jmaiz","CAF_COG","arf",-0.3168
"jmaiz","CAF_GAB","air",-0.3168
"jmaiz","CAF_GAB","arf",-0.3168
"jmaiz","CAF_NAM","air",-0.5104
"jmaiz","CAF_NAM","arf",-0.638
"jmaiz","CAL_USA","air",-1.584
"jmaiz","CAL_USA","arf",-1.584
"jmaiz","CAN_CAN","air",-0.9856
"jmaiz","CAN_CAN","arf",-0.8448
"jmaiz","CAU_AUS","air",-0.6072
"jmaiz","CAU_AUS","arf",-0.506
"jmaiz","CAV_IND","air",-0.8712
"jmaiz","CAV_IND","arf",-0.8712
"jmaiz","CHC_CHL","air",-0.6336
"jmaiz","CHC_CHL","arf",-0.4752
"jmaiz","CHJ_CHM","air",-0.7128
"jmaiz","CHJ_CHM","arf",-0.5346
"jmaiz","CHO_IND","air",-0.8712
"jmaiz","CHO_IND","arf",-0.8712
"jmaiz","CHU_KAZ","air",-0.7128
"jmaiz","CHU_KAZ","arf",-0.5346
"jmaiz","CHU_KGZ","air",-0.7128
"jmaiz","CHU_KGZ","arf",-0.5346
"jmaiz","COB_CAN","air",-0.9856
"jmaiz","COB_CAN","arf",-0.8448
"jmaiz","COB_USA","air",-1.584
"jmaiz","COB_USA","arf",-1.584
"jmaiz","COL_USA","air",-1.584
"jmaiz","COL_USA","arf",-1.584
"jmaiz","CON_AGO","air",-0.7656
"jmaiz","CON_AGO","arf",-0.5742
"jmaiz","CON_CAF","air",-0.4224
"jmaiz","CON_CAF","arf",-0.3168
"jmaiz","CON_COD","air",-0.4224
"jmaiz","CON_COD","arf",-0.3168
"jmaiz","CON_COG","air",-0.3872
"jmaiz","CON_COG","arf",-0.3168
"jmaiz","CRB_CRB","air",-0.3872
"jmaiz","CRB_CRB","arf",-0.352
"jmaiz","CRI_CRI","air",-0.6336
"jmaiz","CRI_CRI","arf",-0.4752
"jmaiz","CUB_CUB","air",-0.7392
"jmaiz","CUB_CUB","arf",-0.4752
"jmaiz","DAN_AUT","air",-0.8448
"jmaiz","DAN_AUT","arf",-0.704
"jmaiz","DAN_BGR","air",-0.8448
"jmaiz","DAN_BGR","arf",-0.6336
"jmaiz","DAN_CZE","air",-0.8448
"jmaiz","DAN_CZE","arf",-0.704
"jmaiz","DAN_DEU","air",-0.8448
"jmaiz","DAN_DEU","arf",-0.704
"jmaiz","DAN_HRV","air",-0.7744
"jmaiz","DAN_HRV","arf",-0.704
"jmaiz","DAN_HUN","air",-0.8448
"jmaiz","DAN_HUN","arf",-0.6336
"jmaiz","DAN_MDA","air",-0.8448
"jmaiz","DAN_MDA","arf",-0.6336
"jmaiz","DAN_OBN","air",-0.8448
"jmaiz","DAN_OBN","arf",-0.6336
"jmaiz","DAN_ROU","air",-0.8448
"jmaiz","DAN_ROU","arf",-0.6336
