"JJJ","FPU","LND","FCTR","Val"
"jorat","WAC_SLE","air","fert",-0.025
"jorat","WAC_SLE","arf","flbr",-0.12
"jorat","WAC_SLE","arf","fert",-0.025
"jorat","WAI_PAK","air","flbr",-0.07
"jorat","WAI_PAK","air","fert",-0.035
"jorat","WAI_PAK","arf","flbr",-0.07
"jorat","WAI_PAK","arf","fert",-0.035
"jorat","WGM_USA","air","flbr",-0.01
"jorat","WGM_USA","air","fert",-0.025
"jorat","WGM_USA","arf","flbr",-0.01
"jorat","WGM_USA","arf","fert",-0.025
"jorat","YEN_RUS","air","flbr",-0.08
"jorat","YEN_RUS","air","fert",-0.03
"jorat","YEN_RUS","arf","flbr",-0.08
"jorat","YEN_RUS","arf","fert",-0.03
"jorat","YHE_CHM","air","flbr",-0.07
"jorat","YHE_CHM","air","fert",-0.035
"jorat","YHE_CHM","arf","flbr",-0.07
"jorat","YHE_CHM","arf","fert",-0.035
"jorat","YRD_CHM","air","flbr",-0.07
"jorat","YRD_CHM","air","fert",-0.035
"jorat","YRD_CHM","arf","flbr",-0.07
"jorat","YRD_CHM","arf","fert",-0.035
"jorat","YUC_MEX","air","flbr",-0.08
"jorat","YUC_MEX","air","fert",-0.03
"jorat","YUC_MEX","arf","flbr",-0.08
"jorat","YUC_MEX","arf","fert",-0.03
"jorat","ZAM_BWA","air","flbr",-0.14
"jorat","ZAM_BWA","air","fert",-0.03
"jorat","ZAM_BWA","arf","flbr",-0.14
"jorat","ZAM_BWA","arf","fert",-0.03
"jorat","ZAM_COD","air","flbr",-0.12
"jorat","ZAM_COD","air","fert",-0.025
"jorat","ZAM_COD","arf","flbr",-0.12
"jorat","ZAM_COD","arf","fert",-0.025
"jorat","ZAM_MOZ","air","flbr",-0.14
"jorat","ZAM_MOZ","air","fert",-0.03
"jorat","ZAM_MOZ","arf","flbr",-0.14
"jorat","ZAM_MOZ","arf","fert",-0.03
"jorat","ZAM_NAM","air","flbr",-0.14
"jorat","ZAM_NAM","air","fert",-0.03
"jorat","ZAM_NAM","arf","flbr",-0.14
"jorat","ZAM_NAM","arf","fert",-0.03
"jorat","ZAM_TZA","air","flbr",-0.16
"jorat","ZAM_TZA","air","fert",-0.025
"jorat","ZAM_TZA","arf","flbr",-0.16
"jorat","ZAM_TZA","arf","fert",-0.025
"jorat","ZAM_ZWE","air","flbr",-0.14
"jorat","ZAM_ZWE","air","fert",-0.03
"jorat","ZAM_ZWE","arf","flbr",-0.14
"jorat","ZAM_ZWE","arf","fert",-0.03
"jorat","ZHJ_CHM","air","flbr",-0.07
"jorat","ZHJ_CHM","air","fert",-0.035
"jorat","ZHJ_CHM","arf","flbr",-0.07
"jorat","ZHJ_CHM","arf","fert",-0.035
"jbean","ALB_ALB","air","flbr",-0.03
"jbean","ALB_ALB","air","fert",-0.072
"jbean","ALB_ALB","arf","flbr",-0.03
"jbean","ALB_ALB","arf","fert",-0.072
"jbean","ALK_USA","air","flbr",-0.01
"jbean","ALK_USA","air","fert",-0.08
"jbean","ALK_USA","arf","flbr",-0.01
"jbean","ALK_USA","arf","fert",-0.08
"jbean","AMA_BOL","air","flbr",-0.078
"jbean","AMA_BOL","air","fert",-0.042
"jbean","AMA_BOL","arf","flbr",-0.078
"jbean","AMA_BOL","arf","fert",-0.042
"jbean","AMA_BRA","air","flbr",-0.06
"jbean","AMA_BRA","air","fert",-0.042
"jbean","AMA_BRA","arf","flbr",-0.06
"jbean","AMA_BRA","arf","fert",-0.042
"jbean","AMA_COL","air","flbr",-0.066
"jbean","AMA_COL","air","fert",-0.042
"jbean","AMA_COL","arf","flbr",-0.066
"jbean","AMA_COL","arf","fert",-0.042
"jbean","AMA_ECU","air","flbr",-0.078
"jbean","AMA_ECU","air","fert",-0.042
"jbean","AMA_ECU","arf","flbr",-0.078
"jbean","AMA_ECU","arf","fert",-0.042
"jbean","AMA_PER","air","flbr",-0.078
"jbean","AMA_PER","air","fert",-0.042
"jbean","AMA_PER","arf","flbr",-0.078
"jbean","AMA_PER","arf","fert",-0.042
"jbean","AMD_TJK","air","flbr",-0.096
"jbean","AMD_TJK","air","fert",-0.036
"jbean","AMD_TJK","arf","flbr",-0.096
"jbean","AMD_TJK","arf","fert",-0.036
"jbean","AMD_TKM","air","flbr",-0.096
"jbean","AMD_TKM","air","fert",-0.036
"jbean","AMD_TKM","arf","flbr",-0.096
"jbean","AMD_TKM","arf","fert",-0.036
"jbean","AMD_UZB","air","flbr",-0.096
"jbean","AMD_UZB","air","fert",-0.036
"jbean","AMD_UZB","arf","flbr",-0.096
"jbean","AMD_UZB","arf","fert",-0.036
"jbean","AMR_CHM","air","flbr",-0.06
"jbean","AMR_CHM","air","fert",-0.048
"jbean","AMR_CHM","arf","flbr",-0.06
"jbean","AMR_CHM","arf","fert",-0.048
"jbean","AMR_RUS","air","flbr",-0.066
"jbean","AMR_RUS","air","fert",-0.024
"jbean","AMR_RUS","arf","flbr",-0.066
"jbean","AMR_RUS","arf","fert",-0.024
