"C","J","CTY","Val"
"crpnt","jrpoln","CAN",-0.5
"crpnt","jrpoln","CHL",-0.5
"crpnt","jrpoln","CHM",-0.5
"crpnt","jrpoln","CHP",-0.5
"crpnt","jrpoln","CZE",-0.5
"crpnt","jrpoln","DEU",-0.5
"crpnt","jrpoln","DNK",-0.5
"crpnt","jrpoln","DZA",-0.5
"crpnt","jrpoln","ETH",-0.5
"crpnt","jrpoln","FNP",-0.5
"crpnt","jrpoln","FRP",-0.5
"crpnt","jrpoln","GRC",-0.5
"crpnt","jrpoln","HRV",-0.5
"crpnt","jrpoln","HUN",-0.5
"crpnt","jrpoln","IND",-0.5
"crpnt","jrpoln","IRL",-0.5
"crpnt","jrpoln","IRN",-0.5
"crpnt","jrpoln","ISR",-0.5
"crpnt","jrpoln","ITP",-0.5
"crpnt","jrpoln","JPN",-0.5
"crpnt","jrpoln","KAZ",-0.5
"crpnt","jrpoln","KOR",-0.5
"crpnt","jrpoln","MDA",-0.5
"crpnt","jrpoln","MEX",-0.5
"crpnt","jrpoln","MMR",-0.5
"crpnt","jrpoln","MOR",-0.5
"crpnt","jrpoln","MYS",-0.5
"crpnt","jrpoln","NLD",-0.5
"crpnt","jrpoln","NOR",-0.5
"crpnt","jrpoln","NPL",-0.5
"crpnt","jrpoln","OBN",-0.5
"crpnt","jrpoln","PAK",-0.5
"crpnt","jrpoln","POL",-0.5
"crpnt","jrpoln","PRY",-0.5
"crpnt","jrpoln","ROU",-0.5
"crpnt","jrpoln","RUS",-0.5
"crpnt","jrpoln","SPP",-0.5
"crpnt","jrpoln","SVK",-0.5
"crpnt","jrpoln","SVN",-0.5
"crpnt","jrpoln","SWE",-0.5
"crpnt","jrpoln","TUR",-0.5
"crpnt","jrpoln","UKP",-0.5
"crpnt","jrpoln","UKR",-0.5
"crpnt","jrpoln","URY",-0.5
"crpnt","jrpoln","USA",-0.5
"crpnt","jrpoln","UZB",-0.5
"crpnt","jrpoln","ZAF",-0.5
"csoyb","jsbolt","AUS",-0.5
"csoyb","jsbolt","AZE",-0.5
"csoyb","jsbolt","BGD",-0.5
"csoyb","jsbolt","BGR",-0.5
"csoyb","jsbolt","BLT",-0.5
"csoyb","jsbolt","BLX",-0.5
"csoyb","jsbolt","CHP",-0.5
"csoyb","jsbolt","COL",-0.5
"csoyb","jsbolt","CUB",-0.5
"csoyb","jsbolt","DEU",-0.5
"csoyb","jsbolt","ECU",-0.5
"csoyb","jsbolt","EGY",-0.5
