"J","J_1","CTY","Val"
"jgdoln","jgdoln","MMR",1.65
"jgdoln","jgdoln","MOR",1.65
"jgdoln","jgdoln","MOZ",1.65
"jgdoln","jgdoln","MWI",1.65
"jgdoln","jgdoln","MYS",1.65
"jgdoln","jgdoln","NER",1.65
"jgdoln","jgdoln","NGA",1.65
"jgdoln","jgdoln","NIC",1.65
"jgdoln","jgdoln","PAK",1.65
"jgdoln","jgdoln","PHL",1.65
"jgdoln","jgdoln","PRY",1.65
"jgdoln","jgdoln","RWA",1.65
"jgdoln","jgdoln","SAU",1.65
"jgdoln","jgdoln","SDN",1.65
"jgdoln","jgdoln","SEN",1.65
"jgdoln","jgdoln","SLE",1.65
"jgdoln","jgdoln","TCD",1.65
"jgdoln","jgdoln","TGO",1.65
"jgdoln","jgdoln","THA",1.65
"jgdoln","jgdoln","TZA",1.65
"jgdoln","jgdoln","UGA",1.65
"jgdoln","jgdoln","USA",1.65
"jgdoln","jgdoln","VEN",1.65
"jgdoln","jgdoln","VNM",1.65
"jgdoln","jgdoln","ZAF",1.65
"jgdoln","jgdoln","ZMB",1.65
"jgdoln","jgdoln","ZWE",1.65
"jrpoln","jrpoln","ARG",1.65
"jrpoln","jrpoln","AUS",1.65
"jrpoln","jrpoln","AUT",1.65
"jrpoln","jrpoln","BGD",1.65
"jrpoln","jrpoln","BGR",1.65
"jrpoln","jrpoln","BLR",1.65
"jrpoln","jrpoln","BLT",1.65
"jrpoln","jrpoln","BLX",1.65
"jrpoln","jrpoln","BRA",1.65
"jrpoln","jrpoln","CAN",1.65
"jrpoln","jrpoln","CHL",1.65
"jrpoln","jrpoln","CHM",1.65
"jrpoln","jrpoln","CHP",1.65
"jrpoln","jrpoln","CZE",1.65
"jrpoln","jrpoln","DEU",1.65
"jrpoln","jrpoln","DNK",1.65
"jrpoln","jrpoln","DZA",1.65
"jrpoln","jrpoln","ETH",1.65
"jrpoln","jrpoln","FNP",1.65
"jrpoln","jrpoln","FRP",1.65
"jrpoln","jrpoln","GRC",1.65
"jrpoln","jrpoln","HRV",1.65
"jrpoln","jrpoln","HUN",1.65
"jrpoln","jrpoln","IND",1.65
"jrpoln","jrpoln","IRL",1.65
"jrpoln","jrpoln","IRN",1.65
"jrpoln","jrpoln","ISR",1.65
"jrpoln","jrpoln","ITP",1.65
"jrpoln","jrpoln","JPN",1.65
"jrpoln","jrpoln","KAZ",1.65
"jrpoln","jrpoln","KOR",1.65
"jrpoln","jrpoln","MDA",1.65
"jrpoln","jrpoln","MEX",1.65
"jrpoln","jrpoln","MMR",1.65
"jrpoln","jrpoln","MOR",1.65
"jrpoln","jrpoln","MYS",1.65
"jrpoln","jrpoln","NLD",1.65
"jrpoln","jrpoln","NOR",1.65
"jrpoln","jrpoln","NPL",1.65
"jrpoln","jrpoln","OBN",1.65
"jrpoln","jrpoln","PAK",1.65
"jrpoln","jrpoln","POL",1.65
"jrpoln","jrpoln","PRY",1.65
"jrpoln","jrpoln","ROU",1.65
"jrpoln","jrpoln","RUS",1.65
"jrpoln","jrpoln","SPP",1.65
"jrpoln","jrpoln","SVK",1.65
"jrpoln","jrpoln","SVN",1.65
"jrpoln","jrpoln","SWE",1.65
"jrpoln","jrpoln","TUR",1.65
"jrpoln","jrpoln","UKP",1.65
"jrpoln","jrpoln","UKR",1.65
"jrpoln","jrpoln","URY",1.65
"jrpoln","jrpoln","USA",1.65
"jrpoln","jrpoln","UZB",1.65
"jrpoln","jrpoln","ZAF",1.65
"jsboln","jsboln","ARG",1.65
"jsboln","jsboln","AUS",1.65
"jsboln","jsboln","AUT",1.65
"jsboln","jsboln","AZE",1.65
"jsboln","jsboln","BEN",1.65
"jsboln","jsboln","BGD",1.65
"jsboln","jsboln","BGR",1.65
"jsboln","jsboln","BLT",1.65
"jsboln","jsboln","BLX",1.65
"jsboln","jsboln","BLZ",1.65
"jsboln","jsboln","BOL",1.65
"jsboln","jsboln","BRA",1.65
"jsboln","jsboln","CAN",1.65
"jsboln","jsboln","CHM",1.65
"jsboln","jsboln","CHP",1.65
"jsboln","jsboln","CMR",1.65
"jsboln","jsboln","COL",1.65
"jsboln","jsboln","CUB",1.65
"jsboln","jsboln","CZE",1.65
"jsboln","jsboln","DEU",1.65
"jsboln","jsboln","ECU",1.65
"jsboln","jsboln","EGY",1.65
"jsboln","jsboln","ETH",1.65
"jsboln","jsboln","FRP",1.65
"jsboln","jsboln","GAB",1.65
"jsboln","jsboln","GEO",1.65
"jsboln","jsboln","GHA",1.65
"jsboln","jsboln","GRC",1.65
"jsboln","jsboln","GTM",1.65
"jsboln","jsboln","HND",1.65
"jsboln","jsboln","HRV",1.65
"jsboln","jsboln","HUN",1.65
"jsboln","jsboln","IND",1.65
"jsboln","jsboln","IRN",1.65
"jsboln","jsboln","IRQ",1.65
"jsboln","jsboln","ITP",1.65
"jsboln","jsboln","JPN",1.65
"jsboln","jsboln","KAZ",1.65
"jsboln","jsboln","KHM",1.65
"jsboln","jsboln","KOR",1.65
"jsboln","jsboln","LAO",1.65
"jsboln","jsboln","LKA",1.65
"jsboln","jsboln","MDA",1.65
"jsboln","jsboln","MEX",1.65
"jsboln","jsboln","MMR",1.65
"jsboln","jsboln","MOR",1.65
"jsboln","jsboln","MOZ",1.65
"jsboln","jsboln","MWI",1.65
"jsboln","jsboln","NGA",1.65
"jsboln","jsboln","NIC",1.65
"jsboln","jsboln","NPL",1.65
"jsboln","jsboln","OBN",1.65
"jsboln","jsboln","PAK",1.65
"jsboln","jsboln","PER",1.65
"jsboln","jsboln","PHL",1.65
"jsboln","jsboln","POL",1.65
"jsboln","jsboln","PRY",1.65
"jsboln","jsboln","ROU",1.65
"jsboln","jsboln","RUS",1.65
"jsboln","jsboln","SPP",1.65
"jsboln","jsboln","SVK",1.65
"jsboln","jsboln","SYR",1.65
"jsboln","jsboln","TGO",1.65
"jsboln","jsboln","THA",1.65
"jsboln","jsboln","TUR",1.65
"jsboln","jsboln","UGA",1.65
"jsboln","jsboln","UKR",1.65
"jsboln","jsboln","URY",1.65
"jsboln","jsboln","USA",1.65
"jsboln","jsboln","UZB",1.65
"jsboln","jsboln","VEN",1.65
"jsboln","jsboln","VNM",1.65
"jsboln","jsboln","ZAF",1.65
"jsboln","jsboln","ZMB",1.65
"jsboln","jsboln","ZWE",1.65
"jsfoln","jsfoln","AFG",1.65
"jsfoln","jsfoln","AGO",1.65
"jsfoln","jsfoln","ALB",1.65
"jsfoln","jsfoln","ARG",1.65
"jsfoln","jsfoln","AUS",1.65
"jsfoln","jsfoln","AUT",1.65
"jsfoln","jsfoln","AZE",1.65
"jsfoln","jsfoln","BGR",1.65
